:START_ID(host_id),:END_ID(strain_country),:TYPE
Guangdong/FS-S29-P0051/2020,Mainland China,LOCATED_IN
Guangdong/FS-S30-P0052/2020,Mainland China,LOCATED_IN
Guangdong/FS-S34-P0015/2020,Mainland China,LOCATED_IN
Guangdong/FS-S42-P0046/2020,Mainland China,LOCATED_IN
Guangdong/FS-S48-P0047/2020,Mainland China,LOCATED_IN
Guangdong/FS-S50-P0053/2020,Mainland China,LOCATED_IN
Guangdong/GD2020012-P0022/2020,Mainland China,LOCATED_IN
Guangdong/GD2020016-P0011/2020,Mainland China,LOCATED_IN
Guangdong/GD2020080-P0010/2020,Mainland China,LOCATED_IN
Guangdong/GD2020085-P0043/2020,Mainland China,LOCATED_IN
Guangdong/GD2020086-P0021/2020,Mainland China,LOCATED_IN
Guangdong/GD2020087-P0008/2020,Mainland China,LOCATED_IN
Guangdong/GD2020115-P0009/2020,Mainland China,LOCATED_IN
Guangdong/GD2020134-P0031/2020,Mainland China,LOCATED_IN
Guangdong/GD2020139-P0007/2020,Mainland China,LOCATED_IN
Guangdong/GD2020227-P0029/2020,Mainland China,LOCATED_IN
Guangdong/GD2020233-P0027/2020,Mainland China,LOCATED_IN
Guangdong/GD2020234-P0023/2020,Mainland China,LOCATED_IN
Guangdong/GD2020241-P0013/2020,Mainland China,LOCATED_IN
Guangdong/GD2020246-P0028/2020,Mainland China,LOCATED_IN
Guangdong/GD2020258-P0018/2020,Mainland China,LOCATED_IN
Guangdong/GDFS2020052-P0025/2020,Mainland China,LOCATED_IN
Guangdong/GDFS2020054-P0005/2020,Mainland China,LOCATED_IN
Guangdong/GDFS2020056-P0044/2020,Mainland China,LOCATED_IN
Guangdong/GDFS2020127-P0026/2020,Mainland China,LOCATED_IN
Guangdong/GDSZ202004-P0004/2020,Mainland China,LOCATED_IN
Guangdong/GDSZ202008-P0020/2020,Mainland China,LOCATED_IN
Guangdong/GDSZ202009-P0032/2020,Mainland China,LOCATED_IN
Guangdong/GDSZ202013-P0014/2020,Mainland China,LOCATED_IN
Guangdong/GDSZ202015-P0019/2020,Mainland China,LOCATED_IN
Guangdong/GZ-S6-P0050/2020,Mainland China,LOCATED_IN
Guangdong/JM-S1-P0062/2020,Mainland China,LOCATED_IN
Guangdong/MM-S1-P0048/2020,Mainland China,LOCATED_IN
Guangdong/SZ-N128-P0057/2020,Mainland China,LOCATED_IN
Guangdong/SZ-N59-P0049/2020,Mainland China,LOCATED_IN
Guangdong/ZH-N22-P0059/2020,Mainland China,LOCATED_IN
Guangdong/ZH-S33-P0058/2020,Mainland China,LOCATED_IN
Guangdong/ZQ-S2-P0061/2020,Mainland China,LOCATED_IN
Guangdong/ZS-S6-P0060/2020,Mainland China,LOCATED_IN
Guangzhou/20SF206/2020,Mainland China,LOCATED_IN
Hangzhou/HZ-1/2020,Mainland China,LOCATED_IN
Hangzhou/HZCDC0001/2020,Mainland China,LOCATED_IN
Hefei/2/2020,Mainland China,LOCATED_IN
Henan/IVDC-HeN-002/2020,Mainland China,LOCATED_IN
HongKong/VB20024950/2020,Hong Kong,LOCATED_IN
