:START_ID(host_id),:END_ID(strain_country),:TYPE
USA/CruiseA-18/2020,USA,LOCATED_IN
USA/CruiseA-19/2020,USA,LOCATED_IN
USA/CruiseA-2/2020,USA,LOCATED_IN
USA/CruiseA-21/2020,USA,LOCATED_IN
USA/CruiseA-22/2020,USA,LOCATED_IN
USA/CruiseA-23/2020,USA,LOCATED_IN
USA/CruiseA-24/2020,USA,LOCATED_IN
USA/CruiseA-25/2020,USA,LOCATED_IN
USA/CruiseA-26/2020,USA,LOCATED_IN
USA/CruiseA-3/2020,USA,LOCATED_IN
USA/CruiseA-4/2020,USA,LOCATED_IN
USA/CruiseA-5/2020,USA,LOCATED_IN
USA/CruiseA-6/2020,USA,LOCATED_IN
USA/CruiseA-7/2020,USA,LOCATED_IN
USA/CruiseA-8/2020,USA,LOCATED_IN
USA/CruiseA-9/2020,USA,LOCATED_IN
USA/IL1/2020,USA,LOCATED_IN
USA/IL2/2020,USA,LOCATED_IN
USA/MA1/2020,USA,LOCATED_IN
USA/MN1-MDH1/2020,USA,LOCATED_IN
USA/MN2-MDH2/2020,USA,LOCATED_IN
USA/MN3-MDH3/2020,USA,LOCATED_IN
USA/NY-NYUMC1/2020,USA,LOCATED_IN
USA/NY1-PV08001/2020,USA,LOCATED_IN
USA/TX1/2020,USA,LOCATED_IN
USA/UC-CDPH-UC11/2020,USA,LOCATED_IN
USA/WA-S2/2020,USA,LOCATED_IN
USA/WA-S3/2020,USA,LOCATED_IN
USA/WA-UW15/2020,USA,LOCATED_IN
USA/WA-UW16/2020,USA,LOCATED_IN
USA/WA-UW17/2020,USA,LOCATED_IN
USA/WA-UW18/2020,USA,LOCATED_IN
USA/WA-UW19/2020,USA,LOCATED_IN
USA/WA-UW20/2020,USA,LOCATED_IN
USA/WA-UW21/2020,USA,LOCATED_IN
USA/WA-UW22/2020,USA,LOCATED_IN
USA/WA-UW23/2020,USA,LOCATED_IN
USA/WA-UW24/2020,USA,LOCATED_IN
USA/WA-UW25/2020,USA,LOCATED_IN
USA/WA-UW26/2020,USA,LOCATED_IN
USA/WA-UW27/2020,USA,LOCATED_IN
USA/WA-UW28/2020,USA,LOCATED_IN
USA/WA-UW29/2020,USA,LOCATED_IN
USA/WA-UW30/2020,USA,LOCATED_IN
USA/WA-UW31/2020,USA,LOCATED_IN
USA/WA-UW32/2020,USA,LOCATED_IN
USA/WA-UW33/2020,USA,LOCATED_IN
USA/WA-UW34/2020,USA,LOCATED_IN
USA/WA-UW35/2020,USA,LOCATED_IN
USA/WA1-A12/2020,USA,LOCATED_IN
USA/WA1-F6/2020,USA,LOCATED_IN
USA/WA1/2020,USA,LOCATED_IN
USA/WA11-UW7/2020,USA,LOCATED_IN
USA/WA12-UW8/2020,USA,LOCATED_IN
USA/WA13-UW9/2020,USA,LOCATED_IN
USA/WA14-UW10/2020,USA,LOCATED_IN
USA/WA15-UW11/2020,USA,LOCATED_IN
USA/WA16-UW12/2020,USA,LOCATED_IN
USA/WA17-UW13/2020,USA,LOCATED_IN
USA/WA18-UW14/2020,USA,LOCATED_IN
USA/WA2/2020,USA,LOCATED_IN
USA/WA3-UW1/2020,USA,LOCATED_IN
USA/WA4-UW2/2020,USA,LOCATED_IN
USA/WA6-UW3/2020,USA,LOCATED_IN
USA/WA7-UW4/2020,USA,LOCATED_IN
USA/WA8-UW5/2020,USA,LOCATED_IN
USA/WA9-UW6/2020,USA,LOCATED_IN
USA/WI1/2020,USA,LOCATED_IN
Vietnam/VR03-38142/2020,Vietnam,LOCATED_IN
Wales/PHW03/2020,United Kingdom,LOCATED_IN
Wales/PHW05/2020,United Kingdom,LOCATED_IN
Wales/PHW1/2020,United Kingdom,LOCATED_IN
Wales/PHW2/2020,United Kingdom,LOCATED_IN
Wuhan-Hu-1/2019,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-01/2019,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-02/2019,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-02/2020,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-03/2019,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-03/2020,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-04/2019,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-04/2020,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-05/2020,Mainland China,LOCATED_IN
Wuhan/HBCDC-HB-06/2020,Mainland China,LOCATED_IN
Wuhan/IPBCAMS-WH-01/2019,Mainland China,LOCATED_IN
Wuhan/IPBCAMS-WH-02/2019,Mainland China,LOCATED_IN
Wuhan/IPBCAMS-WH-03/2019,Mainland China,LOCATED_IN
Wuhan/IPBCAMS-WH-04/2019,Mainland China,LOCATED_IN
Wuhan/IPBCAMS-WH-05/2020,Mainland China,LOCATED_IN
Wuhan/IVDC-HB-01/2019,Mainland China,LOCATED_IN
Wuhan/IVDC-HB-04/2020,Mainland China,LOCATED_IN
Wuhan/IVDC-HB-05/2019,Mainland China,LOCATED_IN
Wuhan/WH01/2019,Mainland China,LOCATED_IN
Wuhan/WH02/2019,Mainland China,LOCATED_IN
Wuhan/WH03/2020,Mainland China,LOCATED_IN
Wuhan/WH04/2020,Mainland China,LOCATED_IN
Wuhan/WH05/2020,Mainland China,LOCATED_IN
Wuhan/WIV02/2019,Mainland China,LOCATED_IN
Wuhan/WIV04/2019,Mainland China,LOCATED_IN
Wuhan/WIV05/2019,Mainland China,LOCATED_IN
Wuhan/WIV06/2019,Mainland China,LOCATED_IN
Wuhan/WIV07/2019,Mainland China,LOCATED_IN
Yunnan/IVDC-YN-003/2020,Mainland China,LOCATED_IN
Zhejiang/WZ-01/2020,Mainland China,LOCATED_IN
Zhejiang/WZ-02/2020,Mainland China,LOCATED_IN
bat/Yunnan/RaTG13/2013,Mainland China,LOCATED_IN
canine/HongKong/20-02756/2020,Hong Kong,LOCATED_IN
pangolin/China/MP789/2019,Mainland China,LOCATED_IN
pangolin/Guangdong/1/2019,Mainland China,LOCATED_IN
pangolin/Guangdong/P2S/2019,Mainland China,LOCATED_IN
pangolin/Guangxi/P1E/2017,Mainland China,LOCATED_IN
pangolin/Guangxi/P2V/2017,Mainland China,LOCATED_IN
pangolin/Guangxi/P3B/2017,Mainland China,LOCATED_IN
pangolin/Guangxi/P4L/2017,Mainland China,LOCATED_IN
pangolin/Guangxi/P5E/2017,Mainland China,LOCATED_IN
pangolin/Guangxi/P5L/2017,Mainland China,LOCATED_IN
